Artist,Lyrics
blink-182,"Once we had love, now it's gone"
blink-182,She always kept me waiting
adele,That I will be your remedy
blink-182,We go where we know With all of this I feel now
radiohead,Let down and hanging around
lin-manuel-miranda,And I got y'all knuckleheads in loco parentis
radiohead,I want you to know
michael-jackson,"Not set, the pace for style"
blink-182,With green eyes and long blond hair
blink-182,So here I am are you ready Come on let me hold you touch you feel you
nirvana,"And over again Gun, gun, son of a gun"
radiohead,From a thousand years of sleep
britney-spears,"You're heaven, you're heaven on earth"
blink-182,"She has her curlers set, her credit cards are paying the funds"
blink-182,Our breathing has got too loud
nirvana,And there seems to be a problem here.
bruno-mars,You could die if you wanted
blink-182,It's not right Their anger hurts my ears
lady-gaga,"Ale-ale-jandro Don't call my name,"
nirvana,"I would shiver the whole night through My girl, my girl, where will you go"
blink-182,"It shines so bright it blinds me, I wish that this would end"
britney-spears,"Santa, can you hear me ? I want my baby, baby"
lady-gaga,"Come on, Na-na-na-na come on"
rihanna,A disease of the mind
blink-182,Is falling down to earth and
adele,I know there is no tomorrow
blink-182,There's just so much to do
lady-gaga,To cut through all his worn out leather
radiohead,These thoughts and the strain I am under
adele,"I should let you find me,"
blink-182,Nothing to hold on to
bruno-mars,And I promise to love her for the rest of my life Once again you're home alone
lady-gaga,"Funk me downtown I lay around, touch myself to pass the time"
rihanna,"Drifting, settling off to a foreign place If I can't see what's in front of me"
nirvana,And you'll think you're happy. [Chorus:]
lady-gaga,It was kind of nasty
lin-manuel-miranda,I'm gonna take a shot But we'll never be truly free
adele,"But I couldn't stay away, I couldn't fight it"
nirvana,No I don't have a gun
blink-182,When the night will begin
blink-182,I never wanted to know
michael-jackson,Did I leave your mind when I was gone
britney-spears,And I won't be denied
bruno-mars,That drop it down in daisy dukes (I wanna get down)
blink-182,What went wrong? Im kicking out fiercely
radiohead,It's what you feel now
blink-182,I'm kind of nervous cause I think all her friends hate me
bruno-mars,I wondered if I'd ever heal again Ohh just like all the seasons never stay the same
blink-182,(Are we alone do you feel it)
lady-gaga,"My heart will be blessed,"
britney-spears,Trench coat and my underwear
michael-jackson,To tell you how I feel
michael-jackson,Look who's standing if you please
michael-jackson,You Really Turn Me On
nirvana,"I don't regret a thing I've got this friend, you see"
nirvana,"In the pines, in the pines"
michael-jackson,We may not change the world in one day
blink-182,To have a blow job
lin-manuel-miranda,And the world is gonna know your name
adele,To stand in your arms
lady-gaga,"All my bubble dreams, bubble dreams I can't believe how you looked at me"
lady-gaga,and make sure that you shine. Cher and Lady Gaga:
rihanna,"Ain't no other, niggas like you"
radiohead,You've gone off the rails
bruno-mars,But why do I wait to come see you
rihanna,"Where have you been, all my life?"
britney-spears,"Do what we like, get what we want"
nirvana,(I don't know why) Stay
britney-spears,Everything's not what it seems
michael-jackson,And No Shoes For Their Feet
rihanna,No we won't say no
britney-spears,"We will, we will rock you! Britney:"
michael-jackson,"Why, Why, Tell 'Em That Is Human Nature"
blink-182,(Oh oh oh oh oh oh oh oh) Yeah my girlfriend takes me home when I'm too drunk to drive
lady-gaga,"To crash the critics saying, ""is it right or is it wrong?"""
michael-jackson,"'cause I wont let it be, see I'm too much for you baby"
lin-manuel-miranda,"'Cause I will pop chick-a pop these cops till I'm free Oui oui, mon ami, je m'appelle Lafayette"
bruno-mars,We out here drippin' in finesse
rihanna,I'm way too good to you
blink-182,I know that I was right
lady-gaga,"What you want with my body, world"
adele,"The only thing that I want is your love If you're gonna let me down, let me down gently"
nirvana,Hello hello hello how low
bruno-mars,Yeah Today I don't feel like doing anything
lin-manuel-miranda,He woulda been dead or destitute without a cent of restitution
bruno-mars,I have to do what you told.
radiohead,in a bunch of flowers
radiohead,"I don't want to know, I don't want to know, I don't want"
bruno-mars,I will never make a promise that I can't keep
britney-spears,To another time and place
radiohead,This is what you'll get
blink-182,On the go and it's way too late to play
adele,Ah-yeah-yeah-yeah-yeah-yeah-yeah everything changed me You have given me something that I can't live without
rihanna,That's how much I need you (how much I love you)
britney-spears,"All you do is look at me, it's a disgrace"
lady-gaga,"I like it, like it [Na-na-na] come on"
lady-gaga,I'll fix you with my love
michael-jackson,You can close your eyes
adele,"And I`ll tell you why this hurts, 'cause I`m sober But I just wanna be drunk"
bruno-mars,Ooh! I've been working hard so long
blink-182,Making fun of your friend's mom
radiohead,Let this wash all over me
radiohead,When I see you messing me around?
adele,I ain't Mr. Right But if you're looking for fast love
blink-182,With many years ahead to fall in line
bruno-mars,Todo lo que necesita es una inyección para mí para hacer estallar todo por la borda.
rihanna,"Oh tell me what you're willing to do? (Kiss it, kiss it better, baby)"
lin-manuel-miranda,You said you were mine
michael-jackson,I'm a get down dancin man
blink-182,Take me away from here
lady-gaga,Heaven's not ready for you
bruno-mars,I will never make a promise that I can't keep
nirvana,No thought was put into this
rihanna,I wanna dance fast in the middle of the night
radiohead,In your arms (don't hurt me)
adele,"You can read my mind, be it truth or lies"
britney-spears,"Hit me, baby, one more time My loneliness is killin' me"
michael-jackson,Just because you read it in a magazine
adele,Watched it pour as I touched your face
rihanna,"Round and around, and around, and around we go"
adele,That you are in my life
bruno-mars,Take me the long way home
bruno-mars,"I'd do it all over again, do it all over again"
blink-182,Trying to hold on / but didn't even know
bruno-mars,I'll be ok tomorrow. Now greetings to the world! You best believe! She was covered in leather and gold
lin-manuel-miranda,"Secretary Jefferson, you have the floor, sir When we were on death's door, when we were needy"
blink-182,"Hey, here's to you California Na, na na, na na, na na, na na (woah-ohh)"
nirvana,So what should I do? I'm on a plain
lin-manuel-miranda,"Whoa, whoa, whoa said, to the rooftops"
nirvana,"Well, I'm half the man I used to be.."
nirvana,"Don't expect me to cry,"
adele,And fool that I am for thinking you loved me too You took my heart then played the part of little coquette
nirvana,"I can't see, I'm really scared"
rihanna,Do things my own way darling
blink-182,In its plague and I can never escape
adele,And not just survive That's why I can't love you in the dark
michael-jackson,I reached for the sky
nirvana,Dive in me Portray sincerity
lady-gaga,And if you say you're okay
radiohead,"You want me, well fucking come and find me."
lin-manuel-miranda,Just a legacy to protect Death doesn't discriminate
britney-spears,Cause I aint goin nowhere I think I see confetti from this potion
michael-jackson,If I Can't Give Sweet Love To You
rihanna,"Come in to me, come in to me Work work work work work work"
lin-manuel-miranda,"Have another shot Geniuses, lower your voices"
rihanna,I can't hurt you even though you hurt me
bruno-mars,'Cause how could I ever leave
nirvana,"Hello, hello, hello, how low"
nirvana,This is getting to be
adele,"All my life, you're my darkness"
blink-182,And kiss my peepee tenderly and gently. I like it when the kids sit
adele,I won't go! I can't do it on my own
michael-jackson,(then you ran into the bedroom)
britney-spears,I could do It's been a while
adele,"Until you kissed my lips and you saved me My hands, they're strong"
nirvana,We don't have to breed
michael-jackson,Nothing's ever gonna stop me now
lin-manuel-miranda,"Two years later, see Alex and his mother bed-ridden"
lady-gaga,"Lord, show me the way"
lin-manuel-miranda,"I'm young, scrappy and hungry"
lin-manuel-miranda,That is the final compromise we made Sir wait- But for a second let us say that we can legislate
lady-gaga,"It's not how big, it's how mean"
lin-manuel-miranda,I'm willing to wait for it My grandfather was a fire and brimstone preacher But there are things that the homilies and hymns won't teach ya My mother was a genius My father commanded respect When they died they left no instructions
lady-gaga,You sayin' that you want me (Go on and video me)
britney-spears,"And the world is spinning, and she keeps on winning"
blink-182,Let's make this last forever Let's go
lin-manuel-miranda,"I wanna give you a word of warning Sir, I don't know what you heard"
bruno-mars,I gotta show 'em how a pimp get it in
rihanna,How to make you feel like a man Only girl in the world
nirvana,This is out of our range and it's crude
bruno-mars,Sex by the fire at night
adele,Filling up my heart with golden stories Painting pictures
blink-182,"I've read your letter through at least four times, and will probably read it more times before I'm through. I've been sitting here, looking at your picture and getting more homesick every minute. I've wanted that picture more than anything else I know of, except, of course, you yourself."
bruno-mars,A whole new world is waiting it's mine for the taking
lin-manuel-miranda,I walk these streets famished
britney-spears,"(Let me know where she was going I don't mind) Oh baby, baby, if you seek Amy tonight (Oh!)"
radiohead,Can't get the stink off
lin-manuel-miranda,Where all the hungriest brothers with something to prove went?
rihanna,Trying to get enough drinks in her system
rihanna,Told you I'll be here forever
lin-manuel-miranda,"Meanwhile, Britain keeps shittin' on us endlessly"
blink-182,"Oh, is this thing on? I swear that I can go on forever again"
lady-gaga,Damn you were in my sex dreams (you were in my)
radiohead,"(Don't reach out, don't reach out"
britney-spears,Show me how want it to be
radiohead,So now I set you free
radiohead,I didn't care but now I can see
radiohead,In your arms (don't hurt me)
bruno-mars,I see the love in disguise
michael-jackson,She'll never know la da da dum
lin-manuel-miranda,Tryin' to catch your eye from the side of the ballroom
lady-gaga,You can't stop my voice 'cause
bruno-mars,I don't know if it's just because pineapple kush between my jaws
blink-182,When I needed a friend
radiohead,And all you have to do is say yeah
bruno-mars,'Cause uptown funk gon' give it to you
blink-182,Forgot that I left my pants down
lin-manuel-miranda,"Put a pencil to his temple, connected it to his brain"
adele,In every face that I've ever known
rihanna,I used to run my own block like Obama did
bruno-mars,"Uh Mirror on the wall, here we are again"
nirvana,But I see hers and they are blue
adele,"If you're ready, are you ready? (Treat her better)"
adele,"Send me spinning closer to you. My oh my, how my blood boils, it's sweet taste for you,"
radiohead,Come on rain down on me
lady-gaga,Your just a pig inside a human body
adele,"Or scared of having nothing left Look, don't get me wrong"
rihanna,And I took his heart when
britney-spears,I think I'm ready now
adele,Say that you love me in your last goodbye
bruno-mars,But you don't have to ask You know I wait for you
rihanna,Sorry if i'm way less friendly
radiohead,Have ourselves a good time
rihanna,"Let me make you rise, rise"
radiohead,"Tires that grip in the wet, shot of baby strapped in backseat"
nirvana,To find it with you just
lin-manuel-miranda,"I'm a diamond in the rough, a shiny piece of coal"
nirvana,"Away, away from your home I'm afraid"
lin-manuel-miranda,"Pardon me, are you Aaron Burr, sir? That depends, who's asking? Oh, sure, sir"
britney-spears,"Where is your heart (where is your heart), when I'm not around (I'm not around)"
michael-jackson,I Can't Help It If I Wanted To
michael-jackson,For You're Always In My Heart.
radiohead,Pull me out of the aircrash
britney-spears,Be all my own in a big red bow
nirvana,For the next few days
blink-182,A short story of a lonely guy Who fell behind She makes me feel like it's raining outside
rihanna,"I drink to that, yeah yeah"
michael-jackson,"Why, Why, Tell 'Em That Is Human Nature"
nirvana,So I can sigh eternally
radiohead,Their faces are concrete grey
bruno-mars,"Ella me tiene de perder la cabeza,"
bruno-mars,"my baby's sleepin in anothers bed,"
blink-182,And I dread the moment when you finally come to kill me This is the first (thing I remember)
nirvana,"You'll wish that you did, you'll feel pretty stupid"
lin-manuel-miranda,Do you know what Angelica said
adele,But after you that goes on
michael-jackson,And now she's out to get me
britney-spears,Even though we couldn't last forever
lady-gaga,I'm addicted to the love that you garner (man cured)
adele,"Oh I can't go back, but the reeds are growing out of my fingertips"
radiohead,"There's no use dwelling on,"
adele,Without falling to your feet But there's a side to you
rihanna,"With you I'm in my fuckin' mind, without you, I'm out it Just gonna stand there and watch me burn"
bruno-mars,"You know I, I'll be waiting on the other,"
radiohead,Burst out of the sand
radiohead,it's like i've fallen out of bed from a long and vivid dream
michael-jackson,"Or someone that you don't forget, no?"
britney-spears,Was lonely then like an alien
nirvana,Reproductive glands He's the one
michael-jackson,Life Ain't So Bad At All If You Live It Off The Wall
lady-gaga,They like the way I'm walkin'
radiohead,If you try the best you can
adele,Until the end starts If I've been on your mind
britney-spears,I said I'm so in love
nirvana,Your scent is still here in my place of recovery It's an odd alliance
lin-manuel-miranda,What are the odds the gods would put us all in one spot
adele,"Is all of my life with you Wait, do you see my heart on my sleeve?"
blink-182,"She said it stopped being fun, I just bring her down"
rihanna,Gyal yo pum pum good and yuh fit
michael-jackson,"So tell me girl, it's not too late"
lady-gaga,"No matter what you know, I'll"
michael-jackson,Push it in stick it out
lady-gaga,I wanna be that G.U.Y.
rihanna,"Sex in the air, I don't care, I love the smell of it"
adele,I try to think of things to say
adele,"If this ain't love, then what is?"
lin-manuel-miranda,Are we a nation of states what's the state of our nation?
nirvana,"I miss you, I'm not gonna crack"
blink-182,I need some more time to fix this problem
radiohead,I will eat you alive
adele,Crazy for you. Lately with this state I'm in I can't help myself but spin.
britney-spears,I don't know how to live without your love
michael-jackson,Don't You Talk To Me
radiohead,I never really got there
bruno-mars,"Yeah, you young wild girls"
britney-spears,"To the beat of the drum, gotta give it that bass I want to get stupid"
radiohead,"I'm standing in the hall, I'm puking on the wall"
radiohead,"Just think of all the fun,"
blink-182,So when you're dead and gone
blink-182,I came in throught the window... Last night
blink-182,Black sedan ran a red light
rihanna,Of a girl with a broken heart
bruno-mars,This might make no sense
nirvana,As I want you to be
adele,So I spend my whole life hiding my heart away
radiohead,X will mark the place
blink-182,She took my hand and that made it I swear Because I fell in love with the girl at the rock show
britney-spears,Oh yeah.. Bring the action...
michael-jackson,Live Your Life Off The Wall (Live It Off The Wall)
bruno-mars,So tonight I'm gonna show you off When I'm walkin' with you
michael-jackson,Is that boy still alive? (uh)
nirvana,It's a years subscription of bad puns.
adele,That I will be your remedy
rihanna,"Dry as a bone, but I just wanna shout What now? I just can't figure it out"
nirvana,His smell smelled like no other
britney-spears,"Don't stop now, just be the champion"
bruno-mars,Yeah your sex takes me to paradise
michael-jackson,...I really wanted to do
nirvana,"I would shiver the whole night through Her husband, was a hard working man"
adele,Whenever you look at me I wish I was her
lady-gaga,"Ooh, there ain't no other way, baby, I was born this way"
radiohead,Everything all of the time
britney-spears,"Outrageous, when I'm at a party"
britney-spears,And part of me still believes
nirvana,I feel stupid and contagious
blink-182,"Like violence you kill me, forever and after"
adele,I've cried my heart out
radiohead,When I'm at the pearly gates
rihanna,"We lost connection, oh come back to me"
blink-182,They question who we used to be
rihanna,"Come in to me, come in to me"
nirvana,"A denial, a denial, a denial, a denial What else should I be"
blink-182,If you play the part then I will play mine
radiohead,We hope that you choke
rihanna,"I'm lost, you got me lookin' for the rest of me"
