Artist,Lyrics
adele,Looking for some education
adele,Made my way into the night
adele,All that bullshit conversation
adele,"Baby, can't you read the signs? I won't bore you with the details, baby"
adele,I don't even wanna waste your time
adele,Let's just say that maybe
adele,You could help me ease my mind
adele,I ain't Mr. Right But if you're looking for fast love
adele,If that's love in your eyes
adele,It's more than enough
adele,Had some bad love
adele,"So fast love is all that I've got on my mind Ooh, ooh"
adele,"Ooh, ooh Looking for some affirmation"
adele,Made my way into the sun
adele,My friends got their ladies
adele,And they're all having babies
adele,"I just wanna have some fun I won't bore you with the details, baby"
adele,I don't even wanna waste your time
adele,Let's just say that maybe
adele,You could help me ease my mind
adele,I ain't Mr. Right But if you're looking for fast love
adele,If that's love in your eyes
adele,It's more than enough
adele,I've had some bad love
adele,"So fast love is all that I've got on my mind Ooh, ooh"
adele,"Baby, baby"
adele,"Ooh, ooh"
adele,"Baby, baby"
adele,"Ooh, ooh"
adele,"Baby, baby"
adele,Ooh In the absence of security
adele,I made my way into the night
adele,Stupid cupid keeps on calling me
adele,And I see nothing in his eyes
adele,I miss my baby
adele,"Oh I, I miss my baby"
adele,I miss my baby
adele,"I miss, I miss, I miss, I miss my baby"
adele,"Ooh I, I miss my baby I don't want you to be no slave"
adele,I don't want you to work all day
adele,But I want you to be true
adele,And I just want to make love to you
adele,"Love to you, ooh baby"
adele,"Love to you, yeah All I want to do is wash your clothes"
adele,I don't want to keep you indoors
adele,There is nothing you can't do
adele,But keep me making love to me
adele,"Love to me, ooh baby"
adele,"Love to you, yeah And I can tell by the way you walk that walk"
adele,And I can hear by the way you talk that talk
adele,And I can know by the way you treat your girl
adele,That I can give you all the loving in the whole wide world All I want you to do is make your bread
adele,Just to make sure you're well fed
adele,I don't want you sad and blue
adele,And I just want to make love to you
adele,"Love to you, ooh yeah"
adele,"Love to you, yeah And I can tell by the way you walk that walk"
adele,And I can hear by the way you talk that talk
adele,And I can know by the way you treat your girl
adele,That I can give you all the loving in the whole wide world All I want you to do baby is make your bread
adele,Just to make sure you're well fed
adele,I don't want you sad and blue
adele,And I just want to make love to you
adele,"Love to you, ooh yeah"
adele,"Love to you, yeah"
adele,Oh I just want to make love to you Happy New Year! I heard that you're settled down
adele,That you found a girl and you're married now
adele,I heard that your dreams came true
adele,"Guess she gave you things I didn't give to you Old friend, why are you so shy?"
adele,"Ain't like you to hold back or hide from the light I hate to turn up out of the blue, uninvited"
adele,"But I couldn't stay away, I couldn't fight it"
adele,I had hoped you'd see my face and that you'd be reminded
adele,"That for me, it isn't over Never mind, I'll find someone like you"
adele,I wish nothing but the best for you two
adele,"Don't forget me, I beg, I remember you said"
adele,"Sometimes it lasts in love, but sometimes it hurts instead"
adele,"Sometimes it lasts in love, but sometimes it hurts instead You know how the time flies"
adele,Only yesterday was the time of our lives
adele,We were born and raised in a summer haze
adele,"Bound by the surprise of our glory days I hate to turn up out of the blue, uninvited"
adele,"But I couldn't stay away, I couldn't fight it"
adele,I had hoped you'd see my face and that you'd be reminded
adele,"That for me, it isn't over Never mind, I'll find someone like you"
adele,I wish nothing but the best for you two
adele,"Don't forget me, I beg, I remember you said"
adele,"Sometimes it lasts in love, but sometimes it hurts instead, yeah Nothing compares, no worries or cares"
adele,"Regrets and mistakes, they're memories made"
adele,"Who would have known how bittersweet this would taste? Never mind, I'll find someone like you"
adele,I wish nothing but the best for you
adele,"Don't forget me, I beg, I remember you said"
adele,"Sometimes it lasts in love, but sometimes it hurts instead Never mind, I'll find someone like you"
adele,I wish nothing but the best for you two
adele,"Don't forget me, I beg, I remember you said"
adele,"Sometimes it lasts in love, but sometimes it hurts instead"
adele,"Sometimes it lasts in love, but sometimes it hurts instead There's a fire starting in my heart"
adele,"Reaching a fever pitch, it's bringing me out the dark"
adele,Finally I can see you crystal clear
adele,[Clean version:] Go 'head and sell me out and I'll lay your ship bare
adele,[Explicit version:] Go 'head and sell me out and I'll lay your shit bare
adele,See how I leave with every piece of you
adele,Don't underestimate the things that I will do There's a fire starting in my heart
adele,Reaching a fever pitch
adele,And it's bringing me out the dark The scars of your love remind me of us
adele,They keep me thinking that we almost had it all
adele,"The scars of your love, they leave me breathless"
adele,I can't help feeling
adele,We could have had it all
adele,(You're gonna wish you never had met me)
adele,Rolling in the deep
adele,"(Tears are gonna fall, rolling in the deep)"
