Artist,Lyrics
adele,That we might be exactly like we were
adele,You'll never know if you never try
adele,'Cause ah-yeah-yeah-yeah-yeah-yeah-yeah everything changed me
adele,"Yours too baby, come on now"
adele,I'm trying to be brave
adele,I often think about where I went wrong
adele,When the day is done
adele,You shower me with words made of knives
adele,I'll be better for you This is the end
adele,I could offer you a warm embrace
adele,At the dawning of the day
adele,It illuminates all of my doubts
adele,Why do I hate the idea of being free?
adele,You're like a dream come true
adele,Made my way into the sun
adele,Make up memories in my head
adele,Tell me was it all for the thrill?
adele,You're out of control with nobody around to help
adele,Why do you love me
adele,Who wants to be right as rain
adele,You could help me ease my mind
adele,In fields of dawn and forests of the night
adele,I quit I'm movin' on [Chorus] Baby
adele,"And a wandering eye, and a heaviness in my head"
adele,It may take a kiss or two Through all of my life
adele,We've gotta let go of all of our ghosts
adele,"Your name I set fire to the rain,"
adele,Don't look back at this crumbling fool
adele,And I'm tired there ain't no room in my bed
adele,Feel the pain running through my veins
adele,"Think we'll never match at all, but we do In the darkness of my heart is a shadow of your face"
adele,"`cause you and me, we`re good"
adele,I want you to love me
adele,It illuminates all of my doubts
adele,"Oh, and turned me off"
adele,But I would never do you wrong
adele,You make it look like I'm see-through
adele,They melt my heart to stone And I hear your words that I made up
adele,And everything you do's a game
adele,Feel the earth move and then
adele,Or should I just keep chasing pavements?
adele,And your heart makes you feel like a fool
adele,It's hard to understand just why
adele,We both know we ain't kids no more
adele,"Why do you love me, do you love me? You said I'm stubborn and I never give in"
adele,Face it all together Let the sky fall
adele,You know I'm never gonna leave you
adele,I'd be your last love everlasting you and me
adele,Don't underestimate the things that I will do
adele,"Take whatever is left, and take it with you out the door"
adele,And now I've had enough of love Go ahead and still my heart
adele,so I can forget about you
adele,Just in case it hasn't gone
adele,Making memories using my eyes
adele,"You may have my number, you can take my name"
adele,Think of me in the depths of your despair
adele,Let this be the way we remember us
adele,Without falling to your feet But there's a side to you
adele,Lay me down (through the night)
adele,That I give in to my pretendings
adele,No in fact it's been a wasted worried year [Chorus]
adele,"Everything I do, is for you But go on and take it, take it all with you"
adele,"If you're gonna let me down, let me down gently"
adele,"But it don't matter, it clearly"
adele,We've gotta let go of all of our ghosts
adele,It's out of my hands
adele,So I can start to begin what's begun Painting pictures
adele,"If this is ain't love, then what is?"
adele,When I feel left out
adele,Though I do know how you play You grace me with your cold shoulder
adele,"Simply, it's tiring This love has dried up and stayed behind"
adele,It feels like we're oceans apart
adele,I'm heading straight for you
adele,"Our love ain't water under the bridge Say it ain't so, say it ain't so"
adele,I need to fight my own
adele,They keep me thinking that we almost had it all
adele,"I won't ask you, you to just desert me"
adele,"(Tears are gonna fall, rolling in the deep)"
adele,Lay me down (Someone believe me) Lay down with me
adele,Doesn't tear you apart anymore I will leave my heart at the door
adele,At least I can say that I've tried (I've tried)
adele,Blew me away It was in the darkest of my days
adele,Go to the ends of the Earth for you
adele,But if I hurt you
adele,That I will be your remedy
adele,I can't give you what you think you gave me
adele,"Just a vague and broken boy instead But I won't go, I can't do it on my own"
adele,You are the peak and art of my universe
adele,That heart you caught must be waiting for you
adele,Made my way into the night
